"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"117","24","2","9","DOURADA","G90","P2","","75","52","0",,,"0.99","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F117_C%C3%A1psulas_1_2024-01-29-02-35-46.jpg","0.78","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F117_Gr%C3%A3os%20-%20contagem_1_2024-01-29-02-38-26.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F117_Gr%C3%A3os%20-%20Cor_1_2024-01-29-02-38-43.jpg",,,,,,,,,,
"118","24","2","9","DOURADA","G90","P3","","75","51","1",,,"1.47","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F118_C%C3%A1psulas_1_2024-01-29-02-42-34.jpg","1.2","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F118_Gr%C3%A3os%20-%20contagem_1_2024-01-29-02-44-57.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F118_Gr%C3%A3os%20-%20Cor_1_2024-01-29-02-45-14.jpg",,,,,,,,,,
"119","24","2","9","DOURADA","G90","P4","","86","50","2",,,"3.825","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F119_C%C3%A1psulas_1_2024-01-29-02-48-32.jpg","3.1","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F119_Gr%C3%A3os%20-%20contagem_1_2024-01-29-02-53-23.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F119_Gr%C3%A3os%20-%20Cor_1_2024-01-29-02-53-38.jpg",,,,,,,,,,
"120","24","2","9","DOURADA","G90","P5","","79","50","3",,,"2.93","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F120_C%C3%A1psulas_1_2024-01-29-02-57-07.jpg","2.3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F120_Gr%C3%A3os%20-%20contagem_1_2024-01-29-02-59-55.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F120_Gr%C3%A3os%20-%20Cor_1_2024-01-29-03-00-09.jpg",,,,,,,,,,
"121","25","2","10","DOURADA","G91","P1","","72","41","2",,,"2.16","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F121_C%C3%A1psulas_1_2024-02-28-02-25-09.jpg","1.58","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F121_Gr%C3%A3os%20-%20contagem_1_2024-02-28-02-29-56.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F121_Gr%C3%A3os%20-%20Cor_1_2024-02-28-02-31-43.jpg",,,,,,,,,,
"122","25","2","10","DOURADA","G91","P2","","73","37","2",,,"4.62","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F122_C%C3%A1psulas_1_2024-02-28-02-26-22.jpg","3.80","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F122_Gr%C3%A3os%20-%20contagem_1_2024-02-28-02-30-59.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F122_Gr%C3%A3os%20-%20Cor_1_2024-02-28-02-31-10.jpg",,,,,,,,,,
"123","25","2","10","DOURADA","G91","P3","","83","45",,,,"2.21","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F123_C%C3%A1psulas_1_2024-02-28-02-27-44.jpg","1.65","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F123_Gr%C3%A3os%20-%20contagem_1_2024-02-28-02-34-01.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F123_Gr%C3%A3os%20-%20Cor_1_2024-02-28-02-34-10.jpg",,,,,,,,,,
"124","25","2","10","DOURADA","G91","P4","","86","51","1",,,"4.84","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F124_C%C3%A1psulas_1_2024-02-28-02-28-06.jpg","3.65","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F124_Gr%C3%A3os%20-%20contagem_1_2024-02-28-02-37-18.jpg",,,,,,,,,,,
"125","25","2","10","DOURADA","G91","P5","","69","48",,,,"0.74","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F125_C%C3%A1psulas_1_2024-02-28-02-28-38.jpg","0.55","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F125_Gr%C3%A3os%20-%20contagem_1_2024-02-28-02-37-42.jpg",,,,,,,,,,,
"126","26","2","11","DOURADA","G92","P1","","74","50","1",,,"5.07","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F126_C%C3%A1psulas_1_2024-02-28-04-53-24.jpg","4.01","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F126_Gr%C3%A3os%20-%20contagem_1_2024-02-28-05-01-08.jpg",,,,,,,,,,,
