"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"262","53","4","8","MARROM","G31","P2","","79","52","4",,,"1.74","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F262_C%C3%A1psulas_1_2024-02-27-05-10-46.jpg","1.3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F262_Gr%C3%A3os%20-%20contagem_1_2024-02-27-05-16-03.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F262_Gr%C3%A3os%20-%20Cor_1_2024-02-27-05-16-14.jpg",,,,,,,,,,
"263","53","4","8","MARROM","G31","P3","","69","53","2",,,".64","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F263_C%C3%A1psulas_1_2024-02-27-05-11-33.jpg",".42","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F263_Gr%C3%A3os%20-%20contagem_1_2024-02-27-05-17-23.jpg",,,,,,,,,,,
"264","53","4","8","MARROM","G31","P4","","76","47","4",,,"2.17","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F264_C%C3%A1psulas_1_2024-02-27-05-12-29.jpg","1.54","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F264_Gr%C3%A3os%20-%20contagem_1_2024-02-27-05-20-36.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F264_Gr%C3%A3os%20-%20Cor_1_2024-02-27-05-20-46.jpg",,,,,,,,,,
"265","53","4","8","MARROM","G31","P5","","63","45","4",,,"1.95","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F265_C%C3%A1psulas_1_2024-02-27-05-13-53.jpg","1.45","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F265_Gr%C3%A3os%20-%20contagem_1_2024-02-27-05-21-27.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F265_Gr%C3%A3os%20-%20Cor_1_2024-02-27-05-21-36.jpg",,,,,,,,,,
"266","54","4","9","MARROM","G41","P1","","80","50","2",,,"1.96","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F266_C%C3%A1psulas_1_2024-02-06-06-49-49.jpg","1.56","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F266_Gr%C3%A3os%20-%20contagem_1_2024-02-06-06-53-45.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F266_Gr%C3%A3os%20-%20Cor_1_2024-02-06-06-54-03.jpg",,,,,,,,,,
"267","54","4","9","MARROM","G41","P2","","81","49","2",,,"0.87","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F267_C%C3%A1psulas_1_2024-02-06-06-57-02.jpg","0.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F267_Gr%C3%A3os%20-%20contagem_1_2024-02-06-06-59-19.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F267_Gr%C3%A3os%20-%20Cor_1_2024-02-06-06-59-40.jpg",,,,,,,,,,
"268","54","4","9","MARROM","G41","P3","","77","46","6",,,"1.40","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F268_C%C3%A1psulas_1_2024-02-06-07-08-55.jpg","1.06","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F268_Gr%C3%A3os%20-%20contagem_1_2024-02-06-07-11-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F268_Gr%C3%A3os%20-%20Cor_1_2024-02-06-07-11-30.jpg",,,,,,,,,,
"269","54","4","9","MARROM","G41","P4","","78","55","6",,,"1.78","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F269_C%C3%A1psulas_1_2024-02-06-07-21-29.jpg","1.35","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F269_Gr%C3%A3os%20-%20contagem_1_2024-02-06-07-24-37.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F269_Gr%C3%A3os%20-%20Cor_1_2024-02-06-07-24-56.jpg",,,,,,,,,,
"270","54","4","9","MARROM","G41","P5","","84","46","8",,,"2.39","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F270_C%C3%A1psulas_1_2024-02-06-07-29-27.jpg","1.95","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F270_Gr%C3%A3os%20-%20contagem_1_2024-02-06-07-32-27.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F270_Gr%C3%A3os%20-%20Cor_1_2024-02-06-07-32-42.jpg",,,,,,,,,,
"271","55","4","10","MARROM","G48","P1","","95","51","9",,,"7.84","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F271_C%C3%A1psulas_1_2024-02-20-03-48-57.jpg","5.21","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F271_Gr%C3%A3os%20-%20contagem_1_2024-02-20-04-01-36.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F271_Gr%C3%A3os%20-%20Cor_1_2024-02-20-04-05-38.jpg",,,,,,,,,,
"272","55","4","10","MARROM","G48","P2","","101","55","6",,,"9.16","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F272_C%C3%A1psulas_1_2024-02-20-03-50-55.jpg","6.99","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F272_Gr%C3%A3os%20-%20contagem_1_2024-02-20-04-04-11.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F272_Gr%C3%A3os%20-%20Cor_1_2024-02-20-04-04-55.jpg",,,,,,,,,,
"273","55","4","10","MARROM","G48","P3","","90","53","4",,,"2.14","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F273_C%C3%A1psulas_1_2024-02-20-03-55-35.jpg","1.58","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F273_Gr%C3%A3os%20-%20contagem_1_2024-02-20-04-08-49.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F273_Gr%C3%A3os%20-%20Cor_1_2024-02-20-04-09-18.jpg",,,,,,,,,,
"274","55","4","10","MARROM","G48","P4","","88","53","4",,,"1.72","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F274_C%C3%A1psulas_1_2024-02-20-03-56-24.jpg","1.17","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F274_Gr%C3%A3os%20-%20contagem_1_2024-02-20-04-10-51.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F274_Gr%C3%A3os%20-%20Cor_1_2024-02-20-04-11-06.jpg",,,,,,,,,,
"275","55","4","10","MARROM","G48","P5","","102","65","2",,,"2.18","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F275_C%C3%A1psulas_1_2024-02-20-03-57-52.jpg","1.66","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F275_Gr%C3%A3os%20-%20contagem_1_2024-02-20-04-12-13.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F275_Gr%C3%A3os%20-%20Cor_1_2024-02-20-04-12-29.jpg",,,,,,,,,,
"276","56","4","11","MARROM","G51","P1","","102","68.5","2",,,"0.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F276_C%C3%A1psulas_1_2024-02-16-01-41-27.jpg","0.38","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F276_Gr%C3%A3os%20-%20contagem_1_2024-02-16-01-50-02.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F276_Gr%C3%A3os%20-%20Cor_1_2024-02-16-01-50-13.jpg",,,,,,,,,,
"277","56","4","11","MARROM","G51","P2","","112","32","7",,,"8.54","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F277_C%C3%A1psulas_1_2024-02-16-01-43-05.jpg","5.78","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F277_Gr%C3%A3os%20-%20contagem_1_2024-02-16-02-01-13.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F277_Gr%C3%A3os%20-%20Cor_1_2024-02-16-02-01-35.jpg",,,,,,,,,,
"278","56","4","11","MARROM","G51","P3","","89.8","43","3",,,"1.73","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F278_C%C3%A1psulas_1_2024-02-16-01-42-40.jpg","1.44","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F278_Gr%C3%A3os%20-%20contagem_1_2024-02-16-01-53-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F278_Gr%C3%A3os%20-%20Cor_1_2024-02-16-01-53-27.jpg",,,,,,,,,,
"279","56","4","11","MARROM","G51","P4","","92","59.5","2",,,"1.02","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F279_C%C3%A1psulas_1_2024-02-16-01-45-21.jpg","0.78","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F279_Gr%C3%A3os%20-%20contagem_1_2024-02-16-02-05-33.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F279_Gr%C3%A3os%20-%20Cor_1_2024-02-16-02-05-54.jpg",,,,,,,,,,
"280","56","4","11","MARROM","G51","P5","","111.5","72","3",,,"3.15","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F280_C%C3%A1psulas_1_2024-02-16-01-46-10.jpg","2.53","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F280_Gr%C3%A3os%20-%20contagem_1_2024-02-16-02-11-02.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F280_Gr%C3%A3os%20-%20Cor_1_2024-02-16-02-11-11.jpg",,,,,,,,,,
"281","57","4","12","MARROM","G54","P1","","80","44","3",,,"1.81","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F281_C%C3%A1psulas_1_2024-02-08-04-36-17.jpg","2.25","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F281_Gr%C3%A3os%20-%20contagem_1_2024-02-08-04-43-04.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F281_Gr%C3%A3os%20-%20Cor_1_2024-02-08-04-43-21.jpg",,,,,,,,,,
"282","57","4","12","MARROM","G54","P2","","86","48","8",,,"6.93","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F282_C%C3%A1psulas_1_2024-02-08-04-51-13.jpg","4.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F282_Gr%C3%A3os%20-%20contagem_1_2024-02-08-05-02-52.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F282_Gr%C3%A3os%20-%20Cor_1_2024-02-08-05-04-19.jpg",,,,,,,,,,
"283","57","4","12","MARROM","G54","P3","","78","50","5",,,"2.93",,"1.93","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F283_Gr%C3%A3os%20-%20contagem_1_2024-02-08-05-16-40.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F283_Gr%C3%A3os%20-%20Cor_1_2024-02-08-05-16-56.jpg",,,,,,,,,,
"284","57","4","12","MARROM","G54","P4","","89","48","6",,,"2.26","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F284_C%C3%A1psulas_1_2024-02-08-05-26-22.jpg","1.69","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F284_Gr%C3%A3os%20-%20contagem_1_2024-02-08-05-30-04.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F284_Gr%C3%A3os%20-%20Cor_1_2024-02-08-05-30-15.jpg",,,,,,,,,,
"285","57","4","12","MARROM","G54","P5","","66","49",,,,"0.39","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F285_C%C3%A1psulas_1_2024-02-08-05-32-44.jpg","0.15","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F285_Gr%C3%A3os%20-%20contagem_1_2024-02-08-05-34-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F285_Gr%C3%A3os%20-%20Cor_1_2024-02-08-05-34-47.jpg",,,,,,,,,,
"286","58","4","13","MARROM","G63","P1","","93","48","7",,,"9.12","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F286_C%C3%A1psulas_1_2024-02-29-02-06-20.jpg","7.17","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F286_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-10-02.jpg",,,,,,,,,,,
"287","58","4","13","MARROM","G63","P2","","95","62","4",,,"4.13","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F287_C%C3%A1psulas_1_2024-02-29-02-06-43.jpg","3.26","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F287_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-10-49.jpg",,,,,,,,,,,
"288","58","4","13","MARROM","G63","P3","","93","49","3",,,"5.71","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F288_C%C3%A1psulas_1_2024-02-29-02-07-37.jpg","4.6","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F288_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-11-31.jpg",,,,,,,,,,,
"289","58","4","13","MARROM","G63","P4","",,,,,,,,,,,,,,,,,,,,
"290","58","4","13","MARROM","G63","P5","",,,,,,,,,,,,,,,,,,,,
"291","59","4","14","MARROM","G64","P1","","69","38","3",,,"1.98","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F291_C%C3%A1psulas_1_2024-02-17-02-10-48.jpg","1.54","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F291_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-16-53.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F291_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-17-20.jpg",,,,,,,,,,
"292","59","4","14","MARROM","G64","P2","","79","48","4",,,"5.47","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F292_C%C3%A1psulas_1_2024-02-17-02-14-46.jpg","4.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F292_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-20-14.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F292_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-20-32.jpg",,,,,,,,,,
"293","59","4","14","MARROM","G64","P3","","78","53","4",,,"3.96","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F293_C%C3%A1psulas_1_2024-02-17-02-15-12.jpg","3.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F293_Gr%C3%A3os%20-%20contagem_1_2024-02-17-02-22-09.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F293_Gr%C3%A3os%20-%20Cor_1_2024-02-17-02-22-25.jpg",,,,,,,,,,
"294","59","4","14","MARROM","G64","P4","",,,,,,,,,,,,,,,,,,,,
"295","59","4","14","MARROM","G64","P5","",,,,,,,,,,,,,,,,,,,,
"296","60","4","15","MARROM","G68","P1","","124","77","7",,,"2.16","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F296_C%C3%A1psulas_1_2024-02-29-02-25-07.jpg","1.41","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F296_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-33-44.jpg",,,,,,,,,,,
"297","60","4","15","MARROM","G68","P2","","136","92","6",,,"1.16","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F297_C%C3%A1psulas_1_2024-02-29-02-25-33.jpg",".72","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F297_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-34-16.jpg",,,,,,,,,,,
"298","60","4","15","MARROM","G68","P3","","129","91","3",,,".59","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F298_C%C3%A1psulas_1_2024-02-29-02-26-14.jpg",".38","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F298_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-34-56.jpg",,,,,,,,,,,
"299","60","4","15","MARROM","G68","P4","","134","94","5",,,"1.21","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F299_C%C3%A1psulas_1_2024-02-29-02-26-46.jpg",".75","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F299_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-35-26.jpg",,,,,,,,,,,
"300","60","4","15","MARROM","G68","P5","","125","92","4",,,".32","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F300_C%C3%A1psulas_1_2024-02-29-02-27-16.jpg",".18","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F300_Gr%C3%A3os%20-%20contagem_1_2024-02-29-02-35-58.jpg",,,,,,,,,,,
"301","61","5","1","MARROM","G71","P1","","71","41","6",,,"9.406","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F301_C%C3%A1psulas_1_2024-02-17-03-31-00.jpg","7.08","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F301_Gr%C3%A3os%20-%20contagem_1_2024-02-17-03-57-23.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F301_Gr%C3%A3os%20-%20Cor_1_2024-02-17-03-59-54.jpg",,,,,,,,,,
"302","61","5","1","MARROM","G71","P2","","96","63","3",,,"3.73","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F302_C%C3%A1psulas_1_2024-02-17-04-09-14.jpg","2.75","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F302_Gr%C3%A3os%20-%20contagem_1_2024-02-17-04-20-55.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F302_Gr%C3%A3os%20-%20Cor_1_2024-02-17-04-21-16.jpg",,,,,,,,,,
